===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               8192
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               65536
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	80066 D	  8007d D	  800a3 D	  800ac D	  
Set	1:	80066 D	  8007e D	  8006d D	  800a3 D	  
Set	2:	80066 D	  800a3 D	  800aa D	  800ac D	  
Set	3:	8006b D	  8006c D	  800a3 D	  800ac D	  
Set	4:	800a3 D	  8006b D	  8003e  	  800ac D	  
Set	5:	800a3 D	  800ac D	  800ab D	  800aa D	  
Set	6:	8006b D	  800a3 D	  80079 D	  8006f D	  
Set	7:	8006b  	  800a3 D	  800ac D	  800ab D	  
Set	8:	f6067 D	  800a3 D	  8007f D	  800ac D	  
Set	9:	f6067 D	  800a3 D	  800ac D	  800a8 D	  
Set	10:	80085 D	  8007f D	  800a3 D	  800ac D	  
Set	11:	80085 D	  800a3 D	  f6067 D	  800ac D	  
Set	12:	800a3 D	  8007d D	  8003e  	  800ac D	  
Set	13:	800a3 D	  800ac D	  800ab D	  800aa D	  
Set	14:	800a3 D	  8006a D	  80074  	  800ac D	  
Set	15:	8007e D	  800a3 D	  800ac D	  800ab D	  
Set	16:	800a3 D	  80074 D	  f6067 D	  800ac D	  
Set	17:	80070 D	  800a3 D	  80074 D	  800ac D	  
Set	18:	800a3 D	  80090  	  80070 D	  80052  	  
Set	19:	800a3 D	  80070 D	  8006f D	  8007f D	  
Set	20:	8003e  	  800a3 D	  80052  	  800ac D	  
Set	21:	80002  	  800a3 D	  8006b  	  800ab D	  
Set	22:	80002  	  8003e  	  800a3 D	  8006b D	  
Set	23:	80002  	  80052  	  800a3 D	  8003e  	  
Set	24:	80002  	  8003e  	  80052  	  800a3 D	  
Set	25:	80002  	  8003e  	  800a3 D	  8007f D	  
Set	26:	80002  	  800a3 D	  800a9 D	  800a8 D	  
Set	27:	80002  	  800a3 D	  80063 D	  800ab D	  
Set	28:	800a3 D	  80063 D	  80062 D	  8006b D	  
Set	29:	800a3 D	  80063 D	  80074 D	  8007d D	  
Set	30:	80063 D	  800a3 D	  8006b D	  8007f D	  
Set	31:	80063 D	  800a3 D	  8006a D	  80074 D	  
Set	32:	80062  	  800a3 D	  8005e D	  800ab D	  
Set	33:	800a3 D	  800a8 D	  800ab D	  800a7 D	  
Set	34:	80062  	  800a3 D	  800a8 D	  800ab D	  
Set	35:	80062  	  800a3 D	  8005e D	  800a8 D	  
Set	36:	8005e D	  80062  	  800a3 D	  800a8 D	  
Set	37:	8005e  	  8003e  	  80062  	  800a3 D	  
Set	38:	80062  	  8006c D	  800ab D	  800a2 D	  
Set	39:	8003e  	  8006c D	  8007d D	  8005e  	  
Set	40:	8003e  	  8006c D	  8006a  	  800ab D	  
Set	41:	8003e  	  8006c D	  8006a  	  800a6 D	  
Set	42:	8003e  	  8006a  	  8006c D	  8006b  	  
Set	43:	8004e  	  8006a  	  800a9 D	  800a8 D	  
Set	44:	8007c  	  8006a  	  80062 D	  8004e  	  
Set	45:	8004e  	  8006c D	  8007f D	  80088 D	  
Set	46:	8004e  	  8006c D	  800a2 D	  800ab D	  
Set	47:	8004e  	  80088 D	  800a2 D	  800ab D	  
Set	48:	8006a  	  80073  	  80088 D	  800a2 D	  
Set	49:	80054 D	  8004e  	  8003e  	  800a2 D	  
Set	50:	80088 D	  8004e  	  8007d D	  800a2 D	  
Set	51:	800a2 D	  800ab D	  800aa D	  800a5 D	  
Set	52:	80063 D	  8008f  	  8007c D	  800a9 D	  
Set	53:	8008f  	  80063 D	  800a2 D	  800ab D	  
Set	54:	8008f  	  80088 D	  800a2 D	  8007f D	  
Set	55:	8008f  	  8006e D	  8005e D	  8006b D	  
Set	56:	8005e D	  8008f  	  8007d D	  8006e D	  
Set	57:	8008f  	  8005e D	  800a6 D	  800a2 D	  
Set	58:	8008f  	  8006a D	  80063 D	  800a2 D	  
Set	59:	8006a  	  8008f  	  800a2 D	  800ab D	  
Set	60:	80063 D	  8006a  	  8008f  	  8006b D	  
Set	61:	8006c D	  8006a D	  8006b D	  800a2 D	  
Set	62:	80069 D	  800a2 D	  8006c D	  8003d  	  
Set	63:	80065 D	  80069 D	  800a2 D	  80039  	  
===== L2 contents =====
Set	0:	2002b  	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  6fc  	  
Set	175:	20013  	  2002a D	  20028  	  20029 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	176:	2001a  	  2002a D	  20028  	  20029 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	177:	2000f  	  20013  	  20028  	  20029 D	  2002a D	  20021 D	  20019 D	  2001e D	  
Set	178:	20013  	  20028  	  20029 D	  2002a D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	179:	20028  	  2002a  	  20029 D	  20021 D	  20019 D	  2001e D	  20027 D	  211aa  	  
Set	180:	20028 D	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	181:	2002a D	  20028  	  20029 D	  20018 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	182:	20028  	  2002a D	  20021 D	  20029 D	  20018 D	  20019 D	  2001e D	  20027 D	  
Set	183:	20028 D	  2001b  	  20017  	  2002a D	  20029 D	  20018 D	  20021 D	  20019 D	  
Set	184:	20028 D	  20017  	  2002a D	  2001b D	  20029 D	  20018 D	  20021 D	  20019 D	  
Set	185:	20017  	  20029 D	  20028  	  2002a D	  20018 D	  20021 D	  20019 D	  2001e D	  
Set	186:	2001a  	  20028  	  20029 D	  2002a D	  20018 D	  20021 D	  20019 D	  2001e D	  
Set	187:	20028  	  2002a D	  2001a D	  20029 D	  20018 D	  20017 D	  20021 D	  20019 D	  
Set	188:	20028 D	  2001a  	  2002a D	  20029 D	  20018 D	  20017 D	  20021 D	  20019 D	  
Set	189:	2001a  	  20028  	  2002a D	  20029 D	  20018 D	  20017 D	  20021 D	  20019 D	  
Set	190:	20028  	  2002a D	  20029 D	  20018 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	191:	2002a D	  20028  	  20018 D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	192:	2002a D	  20028  	  20018 D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	193:	20029 D	  20028  	  2002a D	  20018 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	194:	20028  	  20029 D	  2002a D	  20018 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	195:	2001a  	  2002a D	  20028  	  2001b D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	196:	20028  	  2002a D	  2001a  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	197:	20028  	  2002a  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	198:	2001a D	  20028  	  2002a D	  2001b D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	199:	2001a  	  20028  	  2002a  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	200:	20028  	  2002a D	  2001f  	  3d819  	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	201:	3d819  	  2002a D	  20028  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	202:	2001f  	  2002a D	  20028  	  20017 D	  20029 D	  20021 D	  20019 D	  2001e D	  
Set	203:	20029 D	  20028  	  2002a D	  3d819 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	204:	20028  	  20029 D	  2002a D	  20017 D	  20021 D	  20019 D	  2001e D	  20023  	  
Set	205:	20028  	  2002a  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	206:	20028  	  2002a D	  2001f D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	207:	2001f D	  20028  	  2002a  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	208:	20028  	  2002a D	  2001f D	  3d819 D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	209:	20028  	  2002a D	  2001f D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	210:	2001f D	  20028  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	211:	20028  	  2001b  	  2002a D	  2001f  	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	212:	20028  	  2001a D	  2002a D	  20029 D	  2001f D	  20017 D	  20021 D	  20019 D	  
Set	213:	20028  	  2001a D	  2002a  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	214:	2002a D	  20028  	  2001a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	215:	2002a D	  20028  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	216:	20028  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	217:	20028  	  2001f  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	218:	2002a D	  20028  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	219:	20028  	  20018  	  2002a  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	220:	20028  	  2002a D	  20018  	  2001a  	  2001b D	  20029 D	  2001f D	  20017 D	  
Set	221:	20028  	  2001b D	  20018  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	222:	20028  	  20018  	  2001f  	  2002a D	  2001a  	  20029 D	  20017 D	  20021 D	  
Set	223:	20018  	  2001a D	  20028  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	224:	20028  	  2002a  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	225:	20028  	  2002a  	  20019 D	  2001a D	  20029 D	  20017 D	  20021 D	  2001e D	  
Set	226:	20028  	  20029 D	  2002a  	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	227:	20028  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	228:	20028  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	229:	20028  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	230:	2002a  	  2001f D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	231:	2002a D	  2001f D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	232:	2001f D	  2002a  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	233:	2002a D	  20029 D	  20019 D	  2001f D	  20017 D	  20021 D	  2001e D	  20028 D	  
Set	234:	2002a D	  2001a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	235:	2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  20027 D	  
Set	236:	2002a D	  2001f D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	237:	2002a D	  2001f  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	238:	2002a  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  20027 D	  
Set	239:	2002a  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  20027 D	  
Set	240:	2002a D	  2001c  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	241:	2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  20027 D	  
Set	242:	2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  211a8  	  
Set	243:	2002a  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  6fb  	  
Set	244:	20023  	  2002a D	  20018 D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	245:	20023  	  20018 D	  2002a  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	246:	20023  	  2002a D	  2001c D	  2001f  	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	247:	20023  	  2002a D	  2001a  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	248:	20023  	  2002a D	  20019 D	  20029 D	  20017 D	  20021 D	  2001e D	  20027 D	  
Set	249:	20023  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	250:	20023  	  20018 D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	251:	20023  	  2002a  	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	252:	20023  	  2002a D	  20018  	  2001a D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	253:	2001a  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20018 D	  
Set	254:	2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20018 D	  2001b D	  
Set	255:	2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  20026  	  
===== Simulation results (raw) =====
a. number of L1 reads:                 63640
b. number of L1 read misses:           1844
c. number of L1 writes:                36360
d. number of L1 write misses:          2403
e. L1 miss rate:                       0.042470
f. number of L1 writebacks:            2496
g. number of L1 prefetches:            0
h. number of L2 reads that did not originate from L1 prefetches:	4247
i. number of L2 read misses that did not originate from L1 prefetches:	2593
j. number of L2 reads that originated from L1 prefetches:		0
k. number of L2 read misses that originated from L1 prefetches:	0
l. number of L2 writes:		            2496
m. number of L2 write misses:          0
n. L2 miss rate:                      0.610549
o. number of L2 writebacks:            276
p. number of L2 prefetches:	          0
q. total memory traffic:             2869
