===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               2048
L1_ASSOC:              4
L1_PREF_N:             2
L1_PREF_M:             1
L2_SIZE:               65536
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	20028d D	  20018a  	  20028e D	  200198 D	  
Set	1:	2001c1 D	  20028d D	  200153 D	  20013b  	  
Set	2:	200223 D	  20028d D	  200241  	  2001c1  	  
Set	3:	20018a  	  2001ac D	  20028e D	  20028d D	  
Set	4:	20018f D	  2000f9  	  20017a D	  20018a  	  
Set	5:	200009  	  20017a  	  2000fa  	  20018a  	  
Set	6:	200009  	  2000f9  	  20028d D	  20018a  	  
Set	7:	200009  	  2001ac  	  2000fa  	  200149  	  
Set	8:	200009  	  3d819c D	  20017b D	  2000f9  	  
Set	9:	200009  	  2000fa  	  2000f9  	  2001b2 D	  
Set	10:	200009  	  200214  	  2000fa  	  20023f  	  
Set	11:	200009  	  2001ab  	  20013a  	  20023f  	  
Set	12:	20018f D	  2001f2  	  2001aa  	  20018a D	  
Set	13:	20028d D	  20018d D	  20013a  	  20028c D	  
Set	14:	20013a  	  20018d D	  20028d D	  2001ad D	  
Set	15:	2001f8 D	  20028c D	  20013a  	  20018d D	  
===== L1-SB contents =====
40001380 
40042960 
===== L2 contents =====
Set	0:	2002b D	  2002a D	  20018 D	  20022 D	  2001a D	  2001f D	  20028 D	  20027  	  
Set	231:	2002a D	  2001f D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  
Set	232:	2002a D	  2001f D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	233:	2002a D	  20029 D	  20019 D	  2001f D	  20017 D	  20021 D	  2001e D	  20028 D	  
Set	234:	2001a D	  2002a D	  20029 D	  20019 D	  2001f  	  20017 D	  20021 D	  2001e D	  
Set	235:	2001a  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	236:	2002a D	  2001f D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	237:	2001f D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	238:	2001f  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	239:	2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  20027 D	  
Set	240:	2001c  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	241:	2001c  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028 D	  
Set	242:	2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20028  	  20027 D	  
Set	243:	2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20027 D	  6fb  	  
Set	244:	20023  	  2002a D	  20018 D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	245:	20023  	  20018 D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	246:	20023  	  20018  	  2002a D	  2001f D	  2001c D	  20029 D	  20017 D	  20021 D	  
Set	247:	20023  	  2001a D	  2002a D	  2001f  	  2001c  	  20029 D	  20017 D	  20021 D	  
Set	248:	20023  	  2001a  	  2002a D	  20019 D	  20029 D	  20017 D	  20021 D	  2001e D	  
Set	249:	20023  	  2002a D	  20029 D	  20019 D	  20017 D	  20021 D	  2001e D	  20027 D	  
Set	250:	20023  	  20018 D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	251:	20023  	  20018  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  
Set	252:	20018  	  20023  	  2001a D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	253:	20018 D	  20023  	  2001a D	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  
Set	254:	2001a  	  2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20018 D	  
Set	255:	2002a D	  20029 D	  20017 D	  20021 D	  20019 D	  2001e D	  20018  	  20027 D	  
===== Simulation results (raw) =====
a. number of L1 reads:                 63640
b. number of L1 read misses:           4883
c. number of L1 writes:                36360
d. number of L1 write misses:          2778
e. L1 miss rate:                       0.076610
f. number of L1 writebacks:            4942
g. number of L1 prefetches:            9622
h. number of L2 reads that did not originate from L1 prefetches:	7661
i. number of L2 read misses that did not originate from L1 prefetches:	671
j. number of L2 reads that originated from L1 prefetches:		9622
k. number of L2 read misses that originated from L1 prefetches:	2277
l. number of L2 writes:		            4942
m. number of L2 write misses:          0
n. L2 miss rate:                      0.087586
o. number of L2 writebacks:            393
p. number of L2 prefetches:	          0
q. total memory traffic:             3341
